NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE,DENSITY,LUMINOSITY,MISSION
KOI-4427 b,KOI-4427,147.6606,0.0135484,0.441345,0.164155,Transit,0.526,0.505,3813,2010,3.062865278037598,0.04829909528851084,KOI
KOI-13 b,KOI-13,1.76358799,6.515,0.0342279,1.406,Transit,1.72,1.71,7650,2011,2.344016630892971,8.972779180714173,KOI
KOI 753.01,KOI 753,19.899139805,1,N/A,308.88178712410064,N/A,0.961,0.868,5853,N/A,3.393323983319069e-08,0.792214095512763,KOI
KOI 754.01,KOI 754,1.736952479,1,N/A,3.036850612666441,N/A,0.827,0.803,5795,N/A,0.03570523897883418,0.651529178627774,KOI
KOI 755.01,KOI 755,2.525593315,0.02318294114622877,N/A,0.24177042186621786,N/A,1.095,1.046,6031,N/A,1.6404434299282276,1.296909589479251,KOI
KOI 112.02,KOI 112,3.709213846,0.006683170224232892,N/A,0.11062558048491149,N/A,0.943,1.073,5803,N/A,4.936487776215615,1.169765328145192,KOI
KOI 744.01,KOI 744,19.221386154,1,N/A,4.585608739455202,N/A,1.025,0.947,6117,N/A,0.010370775701038741,1.124975070410417,KOI
KOI 746.01,KOI 746,9.27358194,0.020565453245271655,N/A,0.2248197280822395,N/A,0.676,0.696,4856,N/A,1.8098278274377095,0.24133605542553413,KOI
KOI 747.01,KOI 747,6.029301321,0.03073623542133343,N/A,0.2801325183246952,N/A,0.767,0.693,4536,N/A,1.3981775617038201,0.18215775756410174,KOI
KOI 750.01,KOI 750,21.67697486,0.011749177082366715,N/A,0.13738983382803524,N/A,0.536,0.527,4722,N/A,4.530497399109606,0.12371266996341812,KOI
KOI 751.01,KOI 751,4.99678284,0.02303518150964036,N/A,0.24087828008811374,N/A,0.931,0.847,5339,N/A,1.64816597654033,0.5222705322881979,KOI
KOI 769.01,KOI 769,4.280958588,0.018315120114395567,N/A,0.20786903429826112,N/A,0.908,0.831,5641,N/A,2.0391191655255763,0.6264919067686937,KOI
KOI 771.01,KOI 771,670.645246,1,N/A,1.285576302248044,N/A,1.03,0.983,5520,N/A,0.47066147986498913,0.8038080756416781,KOI
KOI 772.01,KOI 772,61.2563443,1,N/A,5.730226640762795,N/A,1.093,1.091,6144,N/A,0.005314798850396395,1.5196492070829581,KOI
KOI 773.01,KOI 773,38.3774623,0.02303518150964036,N/A,0.24087828008811374,N/A,1.083,0.971,5957,N/A,1.64816597654033,1.0637458499206596,KOI
KOI 758.01,KOI 758,16.01310205,0.025542977116091176,N/A,0.25515254853777974,N/A,0.785,0.826,5015,N/A,1.5377084940544687,0.38666321939758724,KOI
KOI 760.01,KOI 760,4.959319451,1,N/A,1.0598644323877005,N/A,1.097,1.025,6117,N/A,0.839945826451731,1.3179249242034192,KOI
KOI 762.01,KOI 762,4.49876092,0.01705948286027085,N/A,0.1971633329610116,N/A,1.048,0.969,6075,N/A,2.2258179438896355,1.1458339918728184,KOI
KOI 115.01,KOI 115,5.41220713,0.03376023836374593,N/A,0.292622503218153,N/A,1.085,1.332,6391,N/A,1.3473628591415387,2.651995228821416,KOI
KOI 764.01,KOI 764,41.43962808,0.11472145022198259,N/A,0.5111972388536636,N/A,0.93,1.046,5468,N/A,0.8587788911713954,0.8763274408691597,KOI
KOI 765.01,KOI 765,8.35390639,0.020822784207977653,N/A,0.22660401163844773,N/A,0.856,0.782,5592,N/A,1.7895269657793897,0.5357610975369889,KOI
KOI 766.01,KOI 766,4.125546869,0.06846615139388369,N/A,0.3978952330344397,N/A,1.162,1.103,6174,N/A,1.0868558276512263,1.5838226301208869,KOI
KOI 767.01,KOI 767,2.816504852,1,N/A,1.143725759529488,N/A,0.936,0.965,5653,N/A,0.6684001256879256,0.852039221841121,KOI
KOI 786.01,KOI 786,3.689926291,0.01478988332302201,N/A,0.17485978850840847,N/A,1.01,0.917,5880,N/A,2.766286340323173,0.9006104755082888,KOI
KOI 788.01,KOI 788,26.39435646,0.03114987578396552,N/A,0.2819168018809035,N/A,0.845,0.775,5127,N/A,1.390258854457248,0.37183108451162156,KOI
KOI 776.01,KOI 776,3.728731093,0.1551705116900804,N/A,0.5593728948712863,N/A,0.911,0.812,5492,N/A,0.8865580308687819,0.5374315909711695,KOI
KOI 777.01,KOI 777,40.41958501,0.22508942826799447,N/A,0.7154977060395081,N/A,0.714,0.781,5446,N/A,0.6145151462755317,0.48073045289120325,KOI
KOI 778.01,KOI 778,2.243381847,0.008264894820840073,N/A,0.11776271470974449,N/A,0.47,0.45,3741,N/A,5.060764590992992,0.03553570033273672,KOI
KOI 780.01,KOI 780,2.33743801,0.018874641128897016,N/A,0.21232974318878173,N/A,0.778,0.727,4989,N/A,1.971734476171982,0.2933674027876082,KOI
KOI 780.02,KOI 780,7.2406514,0.09845189269017458,N/A,0.4746194259513945,N/A,0.778,0.727,4989,N/A,0.9208518632913966,0.2933674027876082,KOI
KOI 115.03,KOI 115,3.4358789,0.0006879745293026151,N/A,0.05798921557676812,N/A,1.085,1.332,6391,N/A,3.528035027264734,2.651995228821416,KOI
KOI 781.01,KOI 781,11.59822172,0.029335004891539805,N/A,0.27388752587796633,N/A,0.51,0.49,3672,N/A,1.4278140032447655,0.03911036496913765,KOI
KOI 782.01,KOI 782,6.57531678,0.1007529091831925,N/A,0.4799722766200192,N/A,0.927,0.989,5992,N/A,0.9111950807022667,1.1297148056245583,KOI
KOI 783.01,KOI 783,7.27503724,0.08345915454090833,N/A,0.43804161304912537,N/A,0.986,0.867,5485,N/A,0.9929562253502583,0.6095842551139884,KOI
KOI 785.01,KOI 785,12.39358604,0.022888575760280392,N/A,0.2399861383100096,N/A,0.811,0.752,5557,N/A,1.6560083718577376,0.4831547870688123,KOI
KOI 799.01,KOI 799,1.626629735,1,N/A,39.90728601815371,N/A,0.889,0.973,5735,N/A,1.5734235631582065e-05,0.9175894001535156,KOI
KOI 791.01,KOI 791,12.611906672,0.19535685012046497,N/A,0.6833806020277597,N/A,0.992,0.919,5795,N/A,0.6121289701026347,0.8533629875374746,KOI
KOI 794.01,KOI 794,2.539183179,0.014872774729437648,N/A,0.17575193028651262,N/A,1.027,0.956,5996,N/A,2.7396426583861517,1.0584035790993251,KOI
KOI 795.01,KOI 795,6.770302008,0.02245560576314512,N/A,0.23730971297569725,N/A,0.765,0.677,5666,N/A,1.6802753786280744,0.42322628926317146,KOI
KOI 797.01,KOI 797,10.181581555,0.3729823544185534,N/A,0.7297719744891742,N/A,0.884,0.847,5995,N/A,0.959685589375849,0.8302570823193397,KOI
KOI 116.04,KOI 116,23.9802348,0.0030353909956012015,N/A,0.08832203603230837,N/A,0.944,1.029,5881,N/A,4.405646589242794,1.134813479221537,KOI
KOI 813.01,KOI 813,3.895936844,0.33249782041639714,N/A,0.706576288258467,N/A,0.845,0.781,5557,N/A,0.9425705284002941,0.5211379178136314,KOI
KOI 814.01,KOI 814,22.36656079,0.019696432622782308,N/A,0.21857473563551064,N/A,0.807,0.751,5413,N/A,1.886209466273128,0.43383141855560176,KOI
KOI 801.01,KOI 801,1.6255222,0.7604296549974762,N/A,0.8689460918734176,N/A,1.01,1.057,5717,N/A,1.1589982302292094,1.0693300268458479,KOI
KOI 802.01,KOI 802,19.620347388,1,N/A,1.0705701337249498,N/A,0.845,0.77,5733,N/A,0.8149985954602884,0.5738498018024036,KOI
KOI 804.01,KOI 804,9.0293089,0.023331862278161725,N/A,0.242662563644322,N/A,0.824,0.82,5349,N/A,1.632838720698645,0.4931818835021266,KOI
KOI 809.01,KOI 809,1.594745463,1,N/A,1.050050872828555,N/A,0.901,0.893,5934,N/A,0.8637164874466967,0.8858947015839047,KOI
KOI 810.01,KOI 810,4.78300451,0.023939313942413557,N/A,0.24623113075673847,N/A,0.891,0.807,5170,N/A,1.6035594016068013,0.41686771362865654,KOI
KOI 811.01,KOI 811,20.50586978,0.042448438704436285,N/A,0.32295532367369323,N/A,0.739,0.761,4905,N/A,1.2601916797878872,0.30034083160791675,KOI
KOI 815.01,KOI 815,34.84399566,0.18265706581064783,N/A,0.6682141917999896,N/A,0.84,0.871,5509,N/A,0.6121975993412498,0.6260606647876691,KOI
KOI 816.01,KOI 816,7.748094374,0.10782021109847569,N/A,0.4960308286258934,N/A,1.146,1.079,5918,N/A,0.8834386621491049,1.279474842938951,KOI
KOI 818.01,KOI 818,8.114379,0.016379849649289752,N/A,0.19091834051428275,N/A,0.54,0.52,3721,N/A,2.3537979996887604,0.0464445100595434,KOI
KOI 820.01,KOI 820,4.640933983,0.07829182735227702,N/A,0.42465948637756346,N/A,0.786,0.826,6463,N/A,1.0223419225481865,1.066561092573483,KOI
KOI 821.01,KOI 821,21.81293494,0.042448438704436285,N/A,0.32295532367369323,N/A,0.934,0.999,5601,N/A,1.2601916797878872,0.8799992168703749,KOI
KOI 823.01,KOI 823,1.028436523,1,N/A,6.492115719263717,N/A,0.959,0.99,6228,N/A,0.0036546304943889337,1.3211551539107895,KOI
KOI 824.01,KOI 824,15.37563332,0.6392216553240205,N/A,0.9322881581188105,N/A,0.716,0.744,4985,N/A,0.7888659420261394,0.30626371075386266,KOI
KOI 826.01,KOI 826,6.365841612,0.020822784207977653,N/A,0.22660401163844773,N/A,0.941,0.851,5787,N/A,1.7895269657793897,0.7277162420846481,KOI
KOI 840.01,KOI 840,3.040330424,0.5806002822027392,N/A,0.8180940105214826,N/A,0.754,0.791,5035,N/A,1.0604002806706174,0.3602797768591407,KOI
KOI 833.01,KOI 833,3.951403812,1,N/A,2.82898157836818,N/A,0.953,0.869,6046,N/A,0.04416842086161882,0.9040680944766026,KOI
KOI 834.01,KOI 834,23.65368621,0.11389810280426439,N/A,0.5094129552974553,N/A,1.056,0.963,5858,N/A,0.8616060976071079,0.9784509565842069,KOI
KOI 834.05,KOI 834,50.4473156,0.01647469376544035,N/A,0.19181048229238684,N/A,1.056,0.963,5858,N/A,2.3345467180427444,0.9784509565842069,KOI
KOI 838.01,KOI 838,4.859386668,1,N/A,2.939607158853092,N/A,1.038,0.983,6061,N/A,0.03936718323398439,1.1683506116089497,KOI
KOI 850.01,KOI 850,10.526294063,0.42965467363716664,N/A,0.7583205113885062,N/A,0.82,0.793,5386,N/A,0.9852883813321875,0.47413366147151803,KOI
KOI 851.01,KOI 851,4.583521756,0.11307780663326604,N/A,0.5076286717412472,N/A,0.973,0.877,5815,N/A,0.8644525806796525,0.7879289934563806,KOI
KOI 852.01,KOI 852,3.76182115,0.02148430868941088,N/A,0.23106472052896834,N/A,0.974,0.949,5653,N/A,1.741496836740466,0.8240193027778846,KOI
KOI 841.03,KOI 841,6.54626058,0.02504882994388638,N/A,0.25247612320346735,N/A,0.981,0.863,5325,N/A,1.5564269287496317,0.5365238821970416,KOI
KOI 843.01,KOI 843,4.190425575,0.1937232988130705,N/A,0.6004114166640762,N/A,1.162,1.196,6067,N/A,0.8950293181505564,1.7363903261610576,KOI
KOI 844.01,KOI 844,3.709870645,0.05328310018554088,N/A,0.3532881441292335,N/A,0.953,0.852,5576,N/A,1.2083827757738725,0.6287228847484746,KOI
KOI 845.01,KOI 845,16.32976218,0.053637352305534194,N/A,0.35418028590733763,N/A,0.987,0.983,5870,N/A,1.207247764362484,1.0278943033728276,KOI
KOI 846.01,KOI 846,27.807562927,1,N/A,1.2900370111385646,N/A,0.858,0.791,5864,N/A,0.46579596227662795,0.6628539247277702,KOI
KOI 847.01,KOI 847,80.8720639,0.07727874437505224,N/A,0.4219830610432511,N/A,0.779,0.764,5665,N/A,1.0284359117315967,0.5386112155027186,KOI
KOI 118.01,KOI 118,24.99324193,0.01777741765188256,N/A,0.20340832540774045,N/A,1.023,1.357,5747,N/A,2.112344425892292,1.7997554708284038,KOI
KOI 849.01,KOI 849,10.35533177,0.02972806289599199,N/A,0.2756718094341746,N/A,0.891,0.918,5501,N/A,1.419030634717793,0.6914184444961264,KOI
KOI 867.01,KOI 867,16.08524954,0.031781639435290325,N/A,0.28459322721521585,N/A,0.83,0.826,5239,N/A,1.3788113365653107,0.4605138614404517,KOI
KOI 868.01,KOI 868,235.9980206,0.3165650636816629,N/A,0.792221898956463,N/A,0.55,0.53,3822,N/A,0.6366850982971193,0.05370361102721136,KOI
KOI 854.01,KOI 854,56.0560538,0.01478988332302201,N/A,0.17485978850840847,N/A,0.49,0.47,3593,N/A,2.766286340323173,0.03298478086827259,KOI
KOI 855.01,KOI 855,41.408313475,1,N/A,1.0446980221599305,N/A,0.786,0.747,5522,N/A,0.8770612290509999,0.46485320689014525,KOI
KOI 856.01,KOI 856,39.7489401,1,N/A,1.2998505706977102,N/A,1.041,0.964,6122,N/A,0.45532546850044375,1.169543520984849,KOI
KOI 858.01,KOI 858,13.610148282,1,N/A,1.28468416046994,N/A,0.857,0.903,5697,N/A,0.47164270570618544,0.7695722462766937,KOI
KOI 861.01,KOI 861,2.237492751,0.008914058575312862,N/A,0.12043914004405687,N/A,0.836,0.755,5228,N/A,5.102403226323908,0.3815269646729878,KOI
KOI 863.01,KOI 863,3.167891938,0.025710234064933855,N/A,0.25604469031588384,N/A,1.026,0.94,5895,N/A,1.531654949618124,0.9560485858983199,KOI
KOI 865.01,KOI 865,119.0206251,0.18928128218009221,N/A,0.6762434678029267,N/A,0.966,0.871,5796,N/A,0.6120693759542731,0.7670767786369481,KOI
KOI 881.01,KOI 881,21.02247699,0.030328552091739347,N/A,0.27834823476848697,N/A,0.77,0.718,5330,N/A,1.4063340553659402,0.3727749693110868,KOI
KOI 869.04,KOI 869,3.219821056,0.014464161109301587,N/A,0.17129122139599198,N/A,0.804,0.874,5257,N/A,2.877995846824248,0.5227135905258453,KOI
KOI 871.01,KOI 871,12.940669108,1,N/A,2.01356399318101,N/A,0.875,0.797,5834,N/A,0.12249149104969326,0.6592822153502388,KOI
KOI 120.01,KOI 120,20.54552799,1,N/A,2.7736687881257245,N/A,0.932,1.231,5667,N/A,0.04686390050522818,1.4002899600264853,KOI
KOI 873.01,KOI 873,4.347285527,0.012140985226052094,N/A,0.14274268449666,N/A,0.813,0.756,5666,N/A,4.174404991904488,0.5277629398539389,KOI
KOI 875.01,KOI 875,4.220967148,0.023939313942413557,N/A,0.24623113075673847,N/A,0.55,0.52,3861,N/A,1.6035594016068013,0.05383874308147377,KOI
KOI 878.01,KOI 878,23.58914398,0.029335004891539805,N/A,0.27388752587796633,N/A,0.697,0.721,4919,N/A,1.4278140032447655,0.27268850956811547,KOI
KOI 892.01,KOI 892,10.37168453,0.024407471278245635,N/A,0.24890755609105086,N/A,0.834,0.751,5174,N/A,1.5827443633516975,0.36213840967837935,KOI
KOI 892.02,KOI 892,3.96994893,0.009364181658773018,N/A,0.12222342360026513,N/A,0.834,0.751,5174,N/A,5.12871689977863,0.36213840967837935,KOI
KOI 893.01,KOI 893,4.40840023,0.023481952514145137,N/A,0.2435547054224261,N/A,0.968,0.961,6007,N/A,1.6253498772277366,1.077373580870797,KOI
KOI 881.02,KOI 881,226.89047,0.06910012228950835,N/A,0.399679516590648,N/A,0.77,0.718,5330,N/A,1.0822943030007612,0.3727749693110868,KOI
