NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE,DENSITY,LUMINOSITY,MISSION
Kepler-107 d,Kepler-107,7.958203,0.00371234,0.0780099,0.095459,Transit,N/A,1.411,5851,2014,4.26775356706621,2.090563860476771,Kepler
Kepler-427 b,Kepler-427,10.290994,0.29,0.091351,1.23,Transit,0.96,1.35,5800,2010,0.15584213678401215,1.84785772466165,Kepler
WASP-14 b,WASP-14,2.243752,7.69234,0.0367693,1.281,Transit,1.31,1.31,6475,2009,3.6594288969126647,2.702655561899597,WASP
Kepler-50 b,Kepler-50,7.8125124,0.0164915,0.0825598,0.196096,Transit,1.23,1.88,6058,2011,2.1870372746269138,4.265027080645181,Kepler
NN Ser d,NN Ser,2605,0.642621,3.70596,N/A,Timing,N/A,N/A,N/A,2010,N/A,N/A
Kepler-20 b,Kepler-20,3.6961219,0.0266646,0.0453704,0.170247,Transit,0.912,0.944,5466,2011,5.403795441130765,0.7127078077786153,Kepler
HAT-P-27 b,HAT-P-27,3.039577,0.617485,0.0399488,1.02,Transit,0.92,0.87,5190,2011,0.5818728954540463,0.49203608601046844,HAT
Kepler-181 b,Kepler-181,3.137873,0.00674351,0.0419466,0.113302,Transit,N/A,0.749,5333,2014,4.636342470967125,0.4065734253534134,Kepler
HD 116029 b,HD 116029,670,1.9075,1.64869,N/A,RV,1.33,5.04235,4811,2011,N/A,12.203837649437364,HD
Kepler-207 b,Kepler-207,1.611865,0.0117295,0.0269045,0.140066,Transit,N/A,1.588,5920,2014,4.2685812414111,2.775088524914378,Kepler
HD 219828 b,HD 219828,3.8334999,0.0622185,0.0515012,N/A,RV,1.24,1.4682,5891,2007,N/A,2.326031270435249,HD
Kepler-11 c,Kepler-11,13.0241,0.00912437,0.106909,0.255816,Transit,0.961,1.065,5663,2011,0.5450320068695715,1.0451400265886097,Kepler
HD 1237 b,HD 1237,133.71001,3.3748,0.494668,N/A,RV,0.9,0.858011,5536,2001,N/A,0.6195253128989632,HD
WASP-21 b,WASP-21,4.322482,0.300272,0.0521087,1.07,Transit,1.01,1.06,5800,2010,0.24511265507559563,1.1392334372728832,WASP
Kepler-284 c,Kepler-284,37.514456,0.0210192,0.219317,0.232849,Transit,N/A,0.814,5615,2014,1.664927328011216,0.5901152944380436,Kepler
Kepler-186 c,Kepler-186,7.267302,0.00636705,0.0574114,0.111418,Transit,0.478,0.472,3788,2014,4.603354446928111,0.04109726276161992,Kepler
HD 4308 b,HD 4308,15.56,0.0477376,0.119192,N/A,RV,0.933,0.82259,5695,2006,N/A,0.6377210954079963,HD
Kepler-239 b,Kepler-239,11.763051,0.0177874,0.101225,0.207869,Transit,N/A,0.763,4914,2014,1.9803662750898494,0.30414361460265554,Kepler
Kepler-174 b,Kepler-174,13.98179,0.014454,0.113583,0.174859,Transit,N/A,0.622,4880,2014,2.7034996018486606,0.19658441113642597,Kepler
Kepler-440 b,Kepler-440,101.11141,0.0136945,0.353207,0.165939,Transit,0.575,0.559,4134,2010,2.997112226390623,0.08177009898416243,Kepler
Kepler-224 d,Kepler-224,11.349393,0.0174811,0.0988375,0.205192,Transit,N/A,0.676,5018,2014,2.0234371263057085,0.2596002093355161,Kepler
Kepler-389 c,Kepler-389,14.51143,0.0107805,0.116434,0.130252,Transit,N/A,0.792,5376,2014,4.878518238579832,0.46943603273311607,Kepler
Kepler-254 c,Kepler-254,12.412183,0.0160511,0.104915,0.19181,Transit,N/A,0.91,5957,2014,2.274538514793334,0.9342910822920283,Kepler
Kepler-236 c,Kepler-236,23.968127,0.0147725,0.162691,0.178428,Transit,N/A,0.51,3750,2014,2.6005619676127543,0.04608445349340722,Kepler
WASP-25 b,WASP-25,3.764825,0.57847,0.0473714,1.22,Transit,1,0.92,5750,2011,0.31856904941550396,0.8289647280702948,WASP
Kepler-186 d,Kepler-186,13.342996,0.00934866,0.0860831,0.12479,Transit,0.478,0.472,3788,2014,4.810743944123205,0.04109726276161992,Kepler
HD 24040 b,HD 24040,3668,4.02189,4.92406,N/A,RV,1.18,1.15444,5852.73,2007,N/A,1.4010889537380908,HD
Kepler-359 c,Kepler-359,57.68802,0.0607789,0.292189,0.38362,Transit,N/A,1.086,6248,2014,1.076592483823325,1.6103220974245895,Kepler
Kepler-211 c,Kepler-211,6.04045,0.00711292,0.0649112,0.115086,Transit,N/A,0.816,5123,2014,4.6664075672683225,0.41092896996881756,Kepler
Kepler-294 c,Kepler-294,6.6264,0.0223552,0.0690438,0.24177,Transit,N/A,0.976,5913,2014,1.5818800860413178,1.0433263353641575,Kepler
Kepler-263 c,Kepler-263,47.332773,0.019315,0.256083,0.220359,Transit,N/A,0.785,5265,2014,1.8051137095026,0.4242499835128715,Kepler
Kepler-349 b,Kepler-349,5.929778,0.0139923,0.0641159,0.169507,Transit,N/A,0.927,5956,2014,2.8729523687478458,0.9688738694795473,Kepler
HD 200964 b,HD 200964,613.8,1.94873,1.64347,N/A,RV,1.57,3.80029,5082,2011,N/A,8.63100044795124,HD
HD 147018 b,HD 147018,44.236,2.12711,0.238855,N/A,RV,0.927,1.05268,5441,2010,N/A,0.8701550916126511,HD
HD 218566 b,HD 218566,225.7,0.212872,0.687282,N/A,RV,0.85,0.590728,4820,2011,N/A,0.1687533039881322,HD
HD 45364 b,HD 45364,226.93,0.187149,0.68156,N/A,RV,0.82,1.02464,5434,2009,N/A,0.8201818730742789,HD
Kepler-361 b,Kepler-361,8.486616,0.010538,0.081426,0.12936,Transit,N/A,1.343,6169,2014,4.868110238026272,2.3404540811518255,Kepler
Kepler-318 c,Kepler-318,11.815007,0.0419521,0.101523,0.328308,Transit,N/A,1.189,5746,2014,1.185527246143514,1.3807505166389107,Kepler
Kepler-372 b,Kepler-372,6.849692,0.00850717,0.0705863,0.121331,Transit,N/A,1.137,6509,2014,4.7629060069719,2.0790600535058203,Kepler
Kepler-197 e,Kepler-197,25.209715,0.00208313,0.168262,0.0811848,Transit,N/A,1.12,6004,2014,3.8930898648757624,1.4604537162897366,Kepler
HD 141937 b,HD 141937,653.21997,9.4752,1.50087,N/A,RV,1.048,1.06384,5846.82,2002,N/A,1.185005988874577,HD
Kepler-405 c,Kepler-405,29.726682,0.071727,0.187804,0.415737,Transit,N/A,0.893,5818,2014,0.9982259691700341,0.8186283939041132,Kepler
Kepler-104 d,Kepler-104,51.755394,0.0392746,0.271796,0.319386,Transit,N/A,1.349,5711,2014,1.2054976701125766,1.73444909678067,Kepler
Kepler-26 d,Kepler-26,3.543919,0.00371234,0.0454914,0.095459,Transit,N/A,0.571,4486,2014,4.26775356706621,0.11830369575726149,Kepler
Kepler-159 b,Kepler-159,10.139623,0.0183139,0.0916828,0.212329,Transit,N/A,0.663,4625,2014,1.9131768892169068,0.18020341777750776,Kepler
HD 156668 b,HD 156668,4.6455,0.0130582,0.0499846,N/A,RV,0.772,0.728691,4850,2011,N/A,0.2632344855036144,HD
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,1970,2.6,1.76808,N/A,Microlensing,0.19,N/A,N/A,2011,N/A,N/A,MOA
Kepler-32 f,Kepler-32,0.74296,0.00143611,0.0130732,0.0730903,Transit,0.54,0.53,3793,2012,3.6779913511092124,0.052092131540689604,Kepler
WASP-103 b,WASP-103,0.925542,1.48791,0.0198682,1.528,Transit,1.22,1.436,6110,2014,0.4170698833916491,2.5749140638898944,WASP
Kepler-221 e,Kepler-221,18.369917,0.0212781,0.136253,0.234633,Transit,N/A,0.821,5243,2014,1.6472814041794064,0.45634654163193766,Kepler
Kepler-256 c,Kepler-256,3.38802,0.0160511,0.0441473,0.19181,Transit,N/A,1.301,5551,2014,2.274538514793334,1.439887365633906,Kepler
GJ 649 b,GJ 649,598.3,0.325341,1.13179,N/A,RV,0.54,N/A,3700,2010,N/A,N/A,GJ
Kepler-276 b,Kepler-276,14.12841,0.0247188,0.114376,0.256044,Transit,N/A,1.046,6105,2014,1.4726034193377373,1.3617427154475676,Kepler
Kepler-264 c,Kepler-264,140.101261,0.0241007,0.52792,0.252476,Transit,N/A,1.55,6158,2014,1.4975163901746293,3.0953599077136276,Kepler
HD 132406 b,HD 132406,974,5.60495,1.98227,N/A,RV,1.09,N/A,5885,2007,N/A,N/A,HD
Kepler-143 b,Kepler-143,16.007583,0.0186399,0.124306,0.215006,Transit,N/A,1.359,5848,2014,1.8754006838105275,1.9353405125037189,Kepler
Kepler-189 c,Kepler-189,20.134866,0.0183139,0.144846,0.212329,Transit,N/A,0.75,5235,2014,1.9131768892169068,0.37851081193771074,Kepler
HD 38529 c,HD 38529,2146.0503,12.2603,3.6002,N/A,RV,1.34,2.02418,5674,2003,N/A,3.8049118814575285,HD
Kepler-62 b,Kepler-62,5.714932,0,0.0552794,0.116766,Transit,0.69,0.64,4925,2011,0.0,0.2159105709444709,Kepler
Kepler-281 b,Kepler-281,14.646008,0.0239491,0.117153,0.251584,Transit,N/A,0.899,5723,2014,1.5039810862213825,0.7767895699903467,Kepler
Kepler-196 c,Kepler-196,47.427737,0.0168894,0.256426,0.199839,Transit,N/A,0.782,5128,2014,2.1162925772483585,0.37887381470280945,Kepler
Kepler-238 c,Kepler-238,6.155557,0.0184218,0.0657332,0.213222,Transit,N/A,1.43,5751,2014,1.9003703930266378,2.004170031730274,Kepler
Kepler-49 c,Kepler-49,10.9129343,0.0202381,0.07889,0.227293,Transit,0.55,0.53,3974,2011,1.7235099129354534,0.06277001158893333,Kepler
Kepler-55 c,Kepler-55,42.1516418,0.016585,0.202122,0.196987,Transit,0.62,0.58,4362,2013,2.169726573447671,0.10911580239228608,Kepler
WASP-19 b,WASP-19,0.78884,1.13339,0.0163152,1.386,Transit,0.93,0.99,5500,2010,0.42568849855787055,0.8035449308688928,WASP
Kepler-310 d,Kepler-310,92.876125,0.019315,0.401368,0.220359,Transit,N/A,0.876,5797,2014,1.8051137095026,0.7764445257609924,Kepler
Kepler-204 c,Kepler-204,25.660593,0.0131908,0.170262,0.159693,Transit,N/A,1.238,5812,2014,3.239035644802692,1.5668691520457845,Kepler
Kepler-26 b,Kepler-26,12.282356,0.0397121,0.0902469,0.320884,Transit,0.65,0.59,3933,2011,1.2019347620902847,0.07462577037496988,Kepler
Kepler-374 c,Kepler-374,3.282807,0.00409374,0.0432285,0.0981354,Transit,N/A,0.911,5977,2014,4.331570588402455,0.9489837937070357,Kepler
Kepler-395 b,Kepler-395,7.054346,0.00324127,0.0719854,0.0918904,Transit,N/A,0.556,4262,2014,4.177409155210471,0.09138867551870104,Kepler
HD 126614 A b,HD 126614 A,1244,0.385706,2.36847,N/A,RV,1.145,1.10978,5585,2010,N/A,1.0736321699824862,HD
Kepler-80 e,Kepler-80,4.645387,0.0121773,0.0544864,0.146311,Transit,N/A,0.637,4613,2014,3.8879645845946245,0.16462724166903578,Kepler
Kepler-83 d,Kepler-83,5.169796,0.014298,0.0585134,0.173075,Transit,N/A,0.594,4648,2014,2.7578745210656304,0.1475456418621191,Kepler
Kepler-167 b,Kepler-167,4.393147,0.010538,0.0524957,0.12936,Transit,N/A,0.696,4796,2014,4.868110238026272,0.22962765749731964,Kepler
Kepler-295 d,Kepler-295,33.884054,0.00850717,0.204929,0.121331,Transit,N/A,0.898,5603,2014,4.7629060069719,0.7120724474562831,Kepler
Kepler-337 b,Kepler-337,3.292781,0.0115417,0.043316,0.13739,Transit,N/A,1.761,5684,2014,4.450477827801238,2.90017368417435,Kepler
HD 177830 b,HD 177830,410.1,1.31967,1.13872,N/A,RV,1.17,3.99397,4752,2000,N/A,7.287932528058044,HD
Kepler-226 d,Kepler-226,8.109044,0.00587447,0.0789926,0.108841,Transit,N/A,0.802,5571,2014,4.556101084769575,0.5550989284002275,Kepler
HD 38283 b,HD 38283,363.2,0.338157,1.02382,N/A,RV,1.085,1.50465,5998,2011,N/A,2.6253417384971875,HD
Kepler-386 b,Kepler-386,12.31043,0.00915403,0.104341,0.124008,Transit,N/A,0.767,5178,2014,4.800267640785057,0.37890290138908667,Kepler
HD 217786 b,HD 217786,1319,13.1868,2.3791,N/A,RV,1.02,1.15058,5966,2011,N/A,1.5026424578620412,HD
Kepler-363 c,Kepler-363,7.542427,0.0125062,0.0752686,0.150772,Transit,N/A,1.485,5593,2014,3.6489298391478187,1.9333977246695697,Kepler
Kepler-24 d,Kepler-24,4.244384,0.0123736,0.0513038,0.148987,Transit,N/A,1.289,5897,2014,3.7415639917434613,1.8001942258187913,Kepler
HD 32518 b,HD 32518,157.54,3.34549,0.595162,N/A,RV,1.13,24.3641,4580,2009,N/A,234.01930070341066,HD
Kepler-402 c,Kepler-402,6.124821,0.0116666,0.0655142,0.139174,Transit,N/A,1.264,6090,2014,4.327850101331813,1.9690300176449185,Kepler
