NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE
Kepler-107 d,Kepler-107,7.958203,0.00371234,0.0780099,0.095459,Transit,,1.411,5851,2014
Kepler-427 b,Kepler-427,10.290994,0.29,0.091351,1.23,Transit,0.96,1.35,5800,2010
WASP-14 b,WASP-14,2.243752,7.69234,0.0367693,1.281,Transit,1.31,1.31,6475,2009
Kepler-50 b,Kepler-50,7.8125124,0.0164915,0.0825598,0.196096,Transit,1.23,1.88,6058,2011
NN Ser d,NN Ser,2605,0.642621,3.70596,,Timing,,,,2010
Kepler-20 b,Kepler-20,3.6961219,0.0266646,0.0453704,0.170247,Transit,0.912,0.944,5466,2011
HAT-P-27 b,HAT-P-27,3.039577,0.617485,0.0399488,1.02,Transit,0.92,0.87,5190,2011
Kepler-181 b,Kepler-181,3.137873,0.00674351,0.0419466,0.113302,Transit,,0.749,5333,2014
HD 116029 b,HD 116029,670,1.9075,1.64869,,RV,1.33,5.04235,4811,2011
Kepler-207 b,Kepler-207,1.611865,0.0117295,0.0269045,0.140066,Transit,,1.588,5920,2014
HD 219828 b,HD 219828,3.8334999,0.0622185,0.0515012,,RV,1.24,1.4682,5891,2007
Kepler-11 c,Kepler-11,13.0241,0.00912437,0.106909,0.255816,Transit,0.961,1.065,5663,2011
HD 1237 b,HD 1237,133.71001,3.3748,0.494668,,RV,0.9,0.858011,5536,2001
WASP-21 b,WASP-21,4.322482,0.300272,0.0521087,1.07,Transit,1.01,1.06,5800,2010
Kepler-284 c,Kepler-284,37.514456,0.0210192,0.219317,0.232849,Transit,,0.814,5615,2014
Kepler-186 c,Kepler-186,7.267302,0.00636705,0.0574114,0.111418,Transit,0.478,0.472,3788,2014
HD 4308 b,HD 4308,15.56,0.0477376,0.119192,,RV,0.933,0.82259,5695,2006
Kepler-239 b,Kepler-239,11.763051,0.0177874,0.101225,0.207869,Transit,,0.763,4914,2014
Kepler-174 b,Kepler-174,13.98179,0.014454,0.113583,0.174859,Transit,,0.622,4880,2014
Kepler-440 b,Kepler-440,101.11141,0.0136945,0.353207,0.165939,Transit,0.575,0.559,4134,2010
Kepler-224 d,Kepler-224,11.349393,0.0174811,0.0988375,0.205192,Transit,,0.676,5018,2014
Kepler-389 c,Kepler-389,14.51143,0.0107805,0.116434,0.130252,Transit,,0.792,5376,2014
Kepler-254 c,Kepler-254,12.412183,0.0160511,0.104915,0.19181,Transit,,0.91,5957,2014
Kepler-236 c,Kepler-236,23.968127,0.0147725,0.162691,0.178428,Transit,,0.51,3750,2014
WASP-25 b,WASP-25,3.764825,0.57847,0.0473714,1.22,Transit,1,0.92,5750,2011
Kepler-186 d,Kepler-186,13.342996,0.00934866,0.0860831,0.12479,Transit,0.478,0.472,3788,2014
HD 24040 b,HD 24040,3668,4.02189,4.92406,,RV,1.18,1.15444,5852.73,2007
Kepler-359 c,Kepler-359,57.68802,0.0607789,0.292189,0.38362,Transit,,1.086,6248,2014
Kepler-211 c,Kepler-211,6.04045,0.00711292,0.0649112,0.115086,Transit,,0.816,5123,2014
Kepler-294 c,Kepler-294,6.6264,0.0223552,0.0690438,0.24177,Transit,,0.976,5913,2014
Kepler-263 c,Kepler-263,47.332773,0.019315,0.256083,0.220359,Transit,,0.785,5265,2014
Kepler-349 b,Kepler-349,5.929778,0.0139923,0.0641159,0.169507,Transit,,0.927,5956,2014
HD 200964 b,HD 200964,613.8,1.94873,1.64347,,RV,1.57,3.80029,5082,2011
HD 147018 b,HD 147018,44.236,2.12711,0.238855,,RV,0.927,1.05268,5441,2010
HD 218566 b,HD 218566,225.7,0.212872,0.687282,,RV,0.85,0.590728,4820,2011
HD 45364 b,HD 45364,226.93,0.187149,0.68156,,RV,0.82,1.02464,5434,2009
Kepler-361 b,Kepler-361,8.486616,0.010538,0.081426,0.12936,Transit,,1.343,6169,2014
Kepler-318 c,Kepler-318,11.815007,0.0419521,0.101523,0.328308,Transit,,1.189,5746,2014
Kepler-372 b,Kepler-372,6.849692,0.00850717,0.0705863,0.121331,Transit,,1.137,6509,2014
Kepler-197 e,Kepler-197,25.209715,0.00208313,0.168262,0.0811848,Transit,,1.12,6004,2014
HD 141937 b,HD 141937,653.21997,9.4752,1.50087,,RV,1.048,1.06384,5846.82,2002
Kepler-405 c,Kepler-405,29.726682,0.071727,0.187804,0.415737,Transit,,0.893,5818,2014
Kepler-104 d,Kepler-104,51.755394,0.0392746,0.271796,0.319386,Transit,,1.349,5711,2014
Kepler-26 d,Kepler-26,3.543919,0.00371234,0.0454914,0.095459,Transit,,0.571,4486,2014
Kepler-159 b,Kepler-159,10.139623,0.0183139,0.0916828,0.212329,Transit,,0.663,4625,2014
HD 156668 b,HD 156668,4.6455,0.0130582,0.0499846,,RV,0.772,0.728691,4850,2011
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,1970,2.6,1.76808,,Microlensing,0.19,,,2011
Kepler-32 f,Kepler-32,0.74296,0.00143611,0.0130732,0.0730903,Transit,0.54,0.53,3793,2012
WASP-103 b,WASP-103,0.925542,1.48791,0.0198682,1.528,Transit,1.22,1.436,6110,2014
Kepler-221 e,Kepler-221,18.369917,0.0212781,0.136253,0.234633,Transit,,0.821,5243,2014
Kepler-256 c,Kepler-256,3.38802,0.0160511,0.0441473,0.19181,Transit,,1.301,5551,2014
GJ 649 b,GJ 649,598.3,0.325341,1.13179,,RV,0.54,,3700,2010
Kepler-276 b,Kepler-276,14.12841,0.0247188,0.114376,0.256044,Transit,,1.046,6105,2014
Kepler-264 c,Kepler-264,140.101261,0.0241007,0.52792,0.252476,Transit,,1.55,6158,2014
HD 132406 b,HD 132406,974,5.60495,1.98227,,RV,1.09,,5885,2007
Kepler-143 b,Kepler-143,16.007583,0.0186399,0.124306,0.215006,Transit,,1.359,5848,2014
Kepler-189 c,Kepler-189,20.134866,0.0183139,0.144846,0.212329,Transit,,0.75,5235,2014
HD 38529 c,HD 38529,2146.0503,12.2603,3.6002,,RV,1.34,2.02418,5674,2003
Kepler-62 b,Kepler-62,5.714932,0,0.0552794,0.116766,Transit,0.69,0.64,4925,2011
Kepler-281 b,Kepler-281,14.646008,0.0239491,0.117153,0.251584,Transit,,0.899,5723,2014
Kepler-196 c,Kepler-196,47.427737,0.0168894,0.256426,0.199839,Transit,,0.782,5128,2014
Kepler-238 c,Kepler-238,6.155557,0.0184218,0.0657332,0.213222,Transit,,1.43,5751,2014
Kepler-49 c,Kepler-49,10.9129343,0.0202381,0.07889,0.227293,Transit,0.55,0.53,3974,2011
Kepler-55 c,Kepler-55,42.1516418,0.016585,0.202122,0.196987,Transit,0.62,0.58,4362,2013
WASP-19 b,WASP-19,0.78884,1.13339,0.0163152,1.386,Transit,0.93,0.99,5500,2010
Kepler-310 d,Kepler-310,92.876125,0.019315,0.401368,0.220359,Transit,,0.876,5797,2014
Kepler-204 c,Kepler-204,25.660593,0.0131908,0.170262,0.159693,Transit,,1.238,5812,2014
Kepler-26 b,Kepler-26,12.282356,0.0397121,0.0902469,0.320884,Transit,0.65,0.59,3933,2011
Kepler-374 c,Kepler-374,3.282807,0.00409374,0.0432285,0.0981354,Transit,,0.911,5977,2014
Kepler-395 b,Kepler-395,7.054346,0.00324127,0.0719854,0.0918904,Transit,,0.556,4262,2014
HD 126614 A b,HD 126614 A,1244,0.385706,2.36847,,RV,1.145,1.10978,5585,2010
Kepler-80 e,Kepler-80,4.645387,0.0121773,0.0544864,0.146311,Transit,,0.637,4613,2014
Kepler-83 d,Kepler-83,5.169796,0.014298,0.0585134,0.173075,Transit,,0.594,4648,2014
Kepler-167 b,Kepler-167,4.393147,0.010538,0.0524957,0.12936,Transit,,0.696,4796,2014
Kepler-295 d,Kepler-295,33.884054,0.00850717,0.204929,0.121331,Transit,,0.898,5603,2014
Kepler-337 b,Kepler-337,3.292781,0.0115417,0.043316,0.13739,Transit,,1.761,5684,2014
HD 177830 b,HD 177830,410.1,1.31967,1.13872,,RV,1.17,3.99397,4752,2000
Kepler-226 d,Kepler-226,8.109044,0.00587447,0.0789926,0.108841,Transit,,0.802,5571,2014
HD 38283 b,HD 38283,363.2,0.338157,1.02382,,RV,1.085,1.50465,5998,2011
Kepler-386 b,Kepler-386,12.31043,0.00915403,0.104341,0.124008,Transit,,0.767,5178,2014
HD 217786 b,HD 217786,1319,13.1868,2.3791,,RV,1.02,1.15058,5966,2011
Kepler-363 c,Kepler-363,7.542427,0.0125062,0.0752686,0.150772,Transit,,1.485,5593,2014
Kepler-24 d,Kepler-24,4.244384,0.0123736,0.0513038,0.148987,Transit,,1.289,5897,2014
HD 32518 b,HD 32518,157.54,3.34549,0.595162,,RV,1.13,24.3641,4580,2009
Kepler-402 c,Kepler-402,6.124821,0.0116666,0.0655142,0.139174,Transit,,1.264,6090,2014
Kepler-435 b,Kepler-435,8.6001536,0.84,0.0948432,1.99,Transit,1.538,3.21,6090,2010
WASP-18 b,WASP-18,0.9414529,10.2006,0.0201401,1.267,Transit,1.22,1.216,6400,2009
CoRoT-6 b,CoRoT-6,8.886593,2.95364,0.0854177,1.166,Transit,1.05,1.025,6090,2010
Kepler-127 c,Kepler-127,29.393195,0.0216742,0.186396,0.237309,Transit,,1.359,6106,2014
Kepler-203 c,Kepler-203,5.370647,0.019315,0.0600193,0.220359,Transit,,1.114,5821,2014
HD 73267 b,HD 73267,1260,3.06257,2.19849,,RV,0.89,1.16642,5317,2009
HD 147513 b,HD 147513,528.40002,1.17965,1.30958,,RV,1.072,0.850084,5929.74,2004
HD 72659 b,HD 72659,3658,3.1741,4.75375,,RV,1.068,1.34287,5919.51,2003
BD +14 4559 b,BD +14 4559,268.94,1.51929,0.775866,,RV,0.86,0.725686,4814,2009
HD 1605 b,HD 1605,577.9,0.96903,1.48605,,RV,1.31,3.8,4757,2015
Kepler-79 b,Kepler-79,13.485,0.0343,0.114456,0.316,Timing,1.1,1.1,6187,2013
Kepler-202 b,Kepler-202,4.069427,0.0121124,0.0498841,0.145419,Transit,,0.667,4668,2014
HD 197037 b,HD 197037,1035.7,0.807324,2.07477,,RV,1.11,1.09866,6150,2012
HD 70642 b,HD 70642,2068,1.90944,3.18072,,RV,1.002,1.03139,5705.54,2003
KELT-2 A b,KELT-2 A,4.1137912,1.52064,0.0549707,1.286,Transit,1.308,1.828,6151,2012
Kepler-10 b,Kepler-10,0.837495,0.0142824,0.0167573,0.126327,Transit,0.895,1.056,5627,2011
Kepler-208 e,Kepler-208,16.259458,0.0112762,0.125606,0.132037,Transit,,1.314,6092,2014
Kepler-270 c,Kepler-270,25.262887,0.0130508,0.168498,0.157909,Transit,,1.461,6067,2014
Kepler-225 c,Kepler-225,18.794234,0.0135483,0.138343,0.164154,Transit,,0.48,3682,2014
Kepler-150 d,Kepler-150,12.56093,0.0235009,0.105752,0.248907,Transit,,0.939,5560,2014
Kepler-405 b,Kepler-405,10.613839,0.015437,0.0945195,0.185565,Transit,,0.893,5818,2014
Kepler-208 b,Kepler-208,4.22864,0.0121124,0.0511769,0.145419,Transit,,1.314,6092,2014
M 67 YBP 1194 b,M 67 YBP 1194,6.958,0.346328,0.0715732,,RV,1.01,1.01765,5780,2014
Kepler-325 d,Kepler-325,38.715185,0.0235009,0.223972,0.248907,Transit,,1.003,5752,2014
Kepler-340 c,Kepler-340,22.824669,0.0341953,0.157474,0.300651,Transit,,1.85,6620,2014
HD 40307 c,HD 40307,9.62,0.0211468,0.0800702,,RV,0.74,0.839223,4977,2009
HD 142 b,HD 142,350.3,1.3057,1.04292,,RV,1.232,1.5121,6248.6,2002
Kepler-257 b,Kepler-257,2.382667,0.0210192,0.0349126,0.232849,Transit,,1.037,5180,2014
WASP-10 b,WASP-10,3.0927616,3.19144,0.0384536,1.08,Transit,0.79,0.698,4675,2009
GJ 328 b,GJ 328,4100,2.3,4.43476,,RV,0.69,,3900,2013
WASP-17 b,WASP-17,3.735433,0.508547,0.0499354,1.932,Transit,1.19,1.2,6550,2010
HAT-P-17 b,HAT-P-17,10.338523,0.530158,0.0882385,1.01,Transit,0.857,0.837,5246,2012
Kepler-162 b,Kepler-162,6.919798,0.00656354,0.0710671,0.11241,Transit,,0.958,5816,2014
HD 67087 b,HD 67087,352.2,3.09805,1.08217,,RV,1.36,1.55,6330,2015
Kepler-293 c,Kepler-293,54.155743,0.0463015,0.280136,0.34169,Transit,,0.957,5804,2014
HD 102329 b,HD 102329,778.1,4.47808,1.80892,,RV,1.3,7.27206,4745,2011
HD 159868 b,HD 159868,1178.4,2.20004,2.29553,,RV,1.16,1.84825,5558,2007
Kepler-424 b,Kepler-424,3.3118644,0.770225,0.0436419,0.89,Transit,1.01,0.94,5460,2014
Kepler-262 c,Kepler-262,21.853722,0.0121773,0.152976,0.146311,Transit,,0.881,5841,2014
WASP-117 b,WASP-117,10.02165,0.2755,0.0946483,1.021,Transit,1.126,1.17,6040,2014
WASP-75 b,WASP-75,2.484193,1.07,0.0375112,1.27,Transit,1.14,1.26,6100,2013
Kepler-222 b,Kepler-222,3.936981,0.0297967,0.0487958,0.281916,Transit,,0.869,5433,2014
Kepler-334 b,Kepler-334,5.470319,0.00436179,0.0607596,0.0999197,Transit,,1.068,5828,2014
HD 114783 b,HD 114783,493.7,1.10505,1.15987,,RV,0.853,0.837785,5135.09,2002
GJ 581 e,GJ 581,3.14945,0.00613456,0.028459,,RV,0.31,0.299,3498,2009
Kepler-327 c,Kepler-327,5.212333,0.00324127,0.0588339,0.0918904,Transit,,0.492,3799,2014
Kepler-419 b,Kepler-419,69.7546,2.5,0.370106,,Transit,1.39,1.75,6430,2010
epsilon Ret b,epsilon Ret,428.1,1.37669,1.19471,,RV,1.24,3.51559,4781,2001
GJ 674 b,GJ 674,4.6938,0.034879,0.0386657,,RV,0.35,,3600,2007
HD 7924 c,HD 7924,15.299,0.0248402,0.113438,,RV,0.832,0.7821,5177,2015
Kepler-57 c,Kepler-57,11.6092567,0.0115953,0.0942979,0.138158,Transit,0.83,0.73,5145,2013
HD 168443 c,HD 168443,1749.83,17.3857,2.85281,,RV,0.995,1.58859,5491,2001
Kepler-172 c,Kepler-172,6.388996,0.0245625,0.0673847,0.255152,Transit,,1.085,5526,2014
WASP-70 A b,WASP-70 A,3.7130203,0.590076,0.0485382,1.164,Transit,1.106,1.215,5700,2014
Kepler-400 c,Kepler-400,17.340824,0.0115291,0.131115,0.132929,Transit,,1.145,5886,2014
Kepler-220 e,Kepler-220,45.902733,0.00789025,0.250899,0.118655,Transit,,0.666,4632,2014
WASP-57 b,WASP-57,2.838971,0.675887,0.0386362,0.916,Transit,0.954,0.836,5600,2013
HAT-P-37 b,HAT-P-37,2.79736,1.17362,0.0379273,1.178,Transit,0.929,0.877,5500,2012
Kepler-198 c,Kepler-198,49.567416,0.019315,0.264081,0.220359,Transit,,0.94,5574,2014
Kepler-249 b,Kepler-249,3.306539,0.00396389,0.0434366,0.0972433,Transit,,0.482,3568,2014
WASP-106 b,WASP-106,9.289715,1.925,0.089107,1.085,Transit,1.092,1.393,6055,2014
HD 81040 b,HD 81040,1001.7,6.87654,1.9372,,RV,0.96,0.918818,5700,2006
HD 208527 b,HD 208527,875.5,10.014,2.099,,RV,1.6,41.0489,4035,2013
Kepler-165 b,Kepler-165,8.180848,0.0176845,0.0794582,0.206977,Transit,,0.77,5211,2014
Kepler-28 b,Kepler-28,5.91213,0.0397121,0.0581375,0.320884,Transit,0.75,0.7,4590,2011
Kepler-118 c,Kepler-118,20.17202,0.184717,0.145024,0.685164,Transit,,1.094,5274,2014
HAT-P-32 b,HAT-P-32,2.150008,0.861516,0.0342627,1.789,Transit,1.16,1.219,6207,2011
GJ 163 c,GJ 163,25.63058,0.0215524,0.125354,,RV,0.4,,,2013
HD 95089 b,HD 95089,507,1.12925,1.38575,,RV,1.38,4.34001,4950,2010
XO-3 b,XO-3,3.1915426,13.2849,0.0477112,1.217,Transit,1.41,2.07898,6429,2008
HD 114729 b,HD 114729,1114,0.944758,2.10235,,RV,0.998,1.46377,5820.94,2003
Kepler-122 e,Kepler-122,37.993273,0.0208911,0.221179,0.231956,Transit,,1.216,6050,2014
Kepler-103 c,Kepler-103,179.612,0.0877632,0.64119,0.458519,Transit,1.09,1.44,5845,2014
HD 100655 b,HD 100655,157.57,1.33352,0.682908,,RV,1.71,9.3,4801,2012
Kepler-400 b,Kepler-400,9.024389,0.0122424,0.0848304,0.147203,Transit,,1.145,5886,2014
Kepler-106 c,Kepler-106,13.5708,0.0328478,0.111348,0.223015,,1,1.04,5858,2014
Kepler-113 b,Kepler-113,4.754,0.013404,0.0502736,0.16237,Transit,0.75,0.69,4725,2014
HD 142415 b,HD 142415,386.29999,1.66194,1.06061,,RV,1.065,1.11902,5901.98,2004
CoRoT-9 b,CoRoT-9,95.2738,0.843564,0.406991,1.05,Transit,0.99,0.94,5625,2010
HD 114386 b,HD 114386,937.70001,1.3637,1.72685,,RV,0.78,0.637212,4819.64,2004
HD 103197 b,HD 103197,47.84,0.0982431,0.249018,,RV,0.9,1.01561,5303,2011
7 CMa b,7 CMa,763,2.43233,1.80264,,RV,1.34,2.3,4761,2011
K2-3 b,K2-3,10.05403,0.0163773,0.0769351,0.195,Transit,0.601,0.561,3896,2015
Kepler-368 b,Kepler-368,26.84768,0.0318107,0.175473,0.290838,Transit,,2.019,5502,2014
Kepler-335 b,Kepler-335,6.562331,0.0346488,0.0685981,0.302436,Transit,,1.854,5877,2014
WASP-16 b,WASP-16,3.1186009,0.842294,0.0417858,1.008,Transit,1,0.946,5700,2009
Kepler-316 b,Kepler-316,2.240508,0.00359062,0.0335097,0.0945669,Transit,,0.52,4204,2014
HD 152581 b,HD 152581,689,1.51375,1.48938,,RV,0.927,3.809,5155,2011
KIC 11442793 h,KIC 11442793,331.60059,0.937417,0.996347,1.01,Transit,1.2,1.2,6080,2013
